,LineId,Time,Level,Content,EventId,EventTemplate
16,17,Sun Dec 04 04:51:55 2005,error,PacketResponder 1 for block blk_5017373558217225674 terminating,E10,PacketResponder <*> for block blk_<*> terminating
17,18,Sun Dec 04 04:52:04 2005,notice,Received block blk_9212264480425680329 of size 67108864 from /10.251.123.1,E11,Received block blk_<*> of size <*> from /<*>
18,19,Sun Dec 04 04:52:04 2005,notice,BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000742_0/part-00742. blk_-7878121102358435702,E7,BLOCK* NameSystem.allocateBlock: /<*>/part-<*>. blk_<*>
19,20,Sun Dec 04 04:52:05 2005,notice,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.111.130:50010 is added to blk_4568434182693165548 size 67108864,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>
20,21,Sun Dec 04 04:52:05 2005,notice,Received block blk_-5704899712662113150 of size 67108864 from /10.251.91.229,E11,Received block blk_<*> of size <*> from /<*>
21,22,Sun Dec 04 04:52:12 2005,notice,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.74.79:50010 is added to blk_-4794867979917102672 size 67108864,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>
22,23,Sun Dec 04 04:52:12 2005,notice,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.38.197:50010 is added to blk_8763662564934652249 size 67108864,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>
23,24,Sun Dec 04 04:52:12 2005,notice,Received block blk_-5861636720645142679 of size 67108864 from /10.251.70.211,E11,Received block blk_<*> of size <*> from /<*>
24,25,Sun Dec 04 04:52:15 2005,error,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.74.134:50010 is added to blk_7453815855294711849 size 67108864,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>
25,26,Sun Dec 04 04:52:15 2005,error,Receiving block blk_-28342503914935090 src: /10.251.123.132:57542 dest: /10.251.123.132:50010,E13,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>
26,27,Sun Dec 04 04:52:15 2005,error,Received block blk_8291449241650212794 of size 67108864 from /10.251.89.155,E11,Received block blk_<*> of size <*> from /<*>
27,28,Sun Dec 04 04:52:36 2005,notice,BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000487_0/part-00487. blk_-5319073033164653435,E7,BLOCK* NameSystem.allocateBlock: /<*>/part-<*>. blk_<*>
28,29,Sun Dec 04 04:52:36 2005,notice,Verification succeeded for blk_-4980916519894289629,E14,Verification succeeded for blk_<*>
29,30,Sun Dec 04 04:52:36 2005,notice,Received block blk_-5974833545991408899 of size 67108864 from /10.251.31.180,E11,Received block blk_<*> of size <*> from /<*>
30,31,Sun Dec 04 04:52:49 2005,notice,Receiving block blk_-5009020203888190378 src: /10.251.199.19:52622 dest: /10.251.199.19:50010,E13,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>
31,32,Sun Dec 04 04:52:49 2005,notice,Received block blk_6921674711959888070 of size 67108864 from /10.251.65.203,E11,Received block blk_<*> of size <*> from /<*>
32,33,Sun Dec 04 04:52:52 2005,error,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.7.244:50010 is added to blk_5165786360127153975 size 67108864,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>
33,34,Sun Dec 04 04:52:52 2005,error,Receiving block blk_2937758977269298350 src: /10.251.194.129:37476 dest: /10.251.194.129:50010,E13,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>
34,35,Sun Dec 04 04:53:05 2005,notice,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.6.191:50010 is added to blk_673825774073966710 size 67108864,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>
35,36,Sun Dec 04 04:53:05 2005,notice,Received block blk_-7526945448667194862 of size 67108864 from /10.251.203.80,E11,Received block blk_<*> of size <*> from /<*>
36,37,Sun Dec 04 04:53:05 2005,notice,Received block blk_-2094397855762091248 of size 67108864 from /10.251.126.83,E11,Received block blk_<*> of size <*> from /<*>
37,38,Sun Dec 04 04:53:15 2005,notice,Received block blk_-8523968015014407246 of size 67108864 from /10.251.214.225,E11,Received block blk_<*> of size <*> from /<*>
38,39,Sun Dec 04 04:53:15 2005,notice,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.89.155:50010 is added to blk_8181993091797661153 size 67108864,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>
39,40,Sun Dec 04 04:53:16 2005,error,Receiving block blk_-6276023454199613372 src: /10.251.65.237:34085 dest: /10.251.65.237:50010,E13,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>
40,41,Sun Dec 04 04:53:16 2005,error,Received block blk_4755566011267050000 of size 67108864 from /10.251.75.79,E11,Received block blk_<*> of size <*> from /<*>
41,42,Sun Dec 04 04:53:29 2005,notice,Received block blk_-3909548841543565741 of size 3542967 from /10.251.195.33,E11,Received block blk_<*> of size <*> from /<*>
42,43,Sun Dec 04 04:53:29 2005,notice,Receiving block blk_-6809181994368905854 src: /10.250.17.225:51754 dest: /10.250.17.225:50010,E13,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>
43,44,Sun Dec 04 04:53:40 2005,notice,Received block blk_8829027411458566099 of size 67108864 from /10.251.38.214,E11,Received block blk_<*> of size <*> from /<*>
44,45,Sun Dec 04 04:53:51 2005,notice,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.106.50:50010 is added to blk_-29548654251973735 size 67108864,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>
45,46,Sun Dec 04 04:53:54 2005,error,PacketResponder 1 for block blk_-5073870177832699716 terminating,E10,PacketResponder <*> for block blk_<*> terminating
46,47,Sun Dec 04 04:54:15 2005,notice,Received block blk_-8241093737585222406 of size 67108864 from /10.250.5.161,E11,Received block blk_<*> of size <*> from /<*>
47,48,Sun Dec 04 04:54:15 2005,notice,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.111.228:50010 is added to blk_-2480595760294717232 size 67108864,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>
48,49,Sun Dec 04 04:54:15 2005,notice,PacketResponder 0 for block blk_7791237942696729620 terminating,E10,PacketResponder <*> for block blk_<*> terminating
49,50,Sun Dec 04 04:54:15 2005,notice,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.202.134:50010 is added to blk_2113880130496815041 size 3549917,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>
50,51,Sun Dec 04 04:54:18 2005,notice,Received block blk_1064470652608359218 of size 67108864 from /10.251.39.242,E11,Received block blk_<*> of size <*> from /<*>
51,52,Sun Dec 04 04:54:18 2005,notice,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.110.8:50010 is added to blk_-1661553043410372067 size 67108864,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>
52,53,Sun Dec 04 04:54:18 2005,notice,PacketResponder 1 for block blk_-1527267659500322006 terminating,E10,PacketResponder <*> for block blk_<*> terminating
53,54,Sun Dec 04 04:54:18 2005,notice,PacketResponder 1 for block blk_4886940526690879848 terminating,E10,PacketResponder <*> for block blk_<*> terminating
54,55,Sun Dec 04 04:54:18 2005,error,Received block blk_-2452477352812192142 of size 67108864 from /10.250.7.244,E11,Received block blk_<*> of size <*> from /<*>
55,56,Sun Dec 04 04:54:18 2005,error,PacketResponder 0 for block blk_-4229375751333894621 terminating,E10,PacketResponder <*> for block blk_<*> terminating
56,57,Sun Dec 04 04:54:18 2005,error,Receiving block blk_-774267833966018354 src: /10.251.38.53:51057 dest: /10.251.38.53:50010,E13,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>
57,58,Sun Dec 04 04:54:18 2005,error,BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_001648_0/part-01648. blk_2513940824125131775,E7,BLOCK* NameSystem.allocateBlock: /<*>/part-<*>. blk_<*>
58,59,Sun Dec 04 04:54:20 2005,notice,BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_001866_0/part-01866. blk_-1282453782148343691,E7,BLOCK* NameSystem.allocateBlock: /<*>/part-<*>. blk_<*>
59,60,Sun Dec 04 04:54:20 2005,notice,Received block blk_-518701095493827363 of size 67108864 from /10.251.214.67,E11,Received block blk_<*> of size <*> from /<*>
60,61,Sun Dec 04 04:54:20 2005,error,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.106.50:50010 is added to blk_-2530087534157630851 size 67108864,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>
61,62,Sun Dec 04 04:56:52 2005,notice,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.198.196:50010 is added to blk_427714267500527780 size 67108864,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>
62,63,Sun Dec 04 04:56:52 2005,notice,Received block blk_-967145856473901804 of size 67108864 from /10.250.6.191,E11,Received block blk_<*> of size <*> from /<*>
63,64,Sun Dec 04 04:56:57 2005,notice,Received block blk_8408125361497769001 of size 67108864 from /10.251.70.211,E11,Received block blk_<*> of size <*> from /<*>
64,65,Sun Dec 04 04:56:57 2005,notice,Received block blk_-1614641487214609125 of size 67108864 from /10.251.193.175,E11,Received block blk_<*> of size <*> from /<*>
65,66,Sun Dec 04 04:56:59 2005,error,Received block blk_7577595658377008671 of size 67108864 from /10.251.71.97,E11,Received block blk_<*> of size <*> from /<*>
66,67,Sun Dec 04 04:57:00 2005,error,Received block blk_3777400576053320362 of size 67108864 from /10.251.31.5,E11,Received block blk_<*> of size <*> from /<*>
67,68,Sun Dec 04 04:57:20 2005,notice,PacketResponder 0 for block blk_-5852844080027817147 terminating,E10,PacketResponder <*> for block blk_<*> terminating
68,69,Sun Dec 04 04:57:20 2005,notice,Received block blk_-2129171714384027465 of size 67108864 from /10.251.75.228,E11,Received block blk_<*> of size <*> from /<*>
69,70,Sun Dec 04 04:57:24 2005,notice,Verification succeeded for blk_-2827716238972737794,E14,Verification succeeded for blk_<*>
70,71,Sun Dec 04 04:57:24 2005,notice,Receiving block blk_-3509323198988774369 src: /10.250.6.214:52922 dest: /10.250.6.214:50010,E13,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>
71,72,Sun Dec 04 04:57:24 2005,error,PacketResponder 0 for block blk_9093049293972551787 terminating,E10,PacketResponder <*> for block blk_<*> terminating
72,73,Sun Dec 04 04:57:24 2005,error,Deleting block blk_1781953582842324563 file /mnt/hadoop/dfs/data/current/subdir5/blk_1781953582842324563,E9,Deleting block blk_<*> file /<*>/blk_<*>
73,74,Sun Dec 04 04:57:49 2005,notice,10.251.194.213:50010 Served block blk_-7724713468912166542 to /10.251.203.80,E1,<*>:<*> Served block blk_<*> to /<*>
74,75,Sun Dec 04 04:58:11 2005,notice,10.251.91.229:50010 Served block blk_-3358448553918665902 to /10.251.91.229,E1,<*>:<*> Served block blk_<*> to /<*>
75,76,Sun Dec 04 04:58:18 2005,error,10.251.39.192:50010 Served block blk_-5341992729755584578 to /10.251.39.192,E1,<*>:<*> Served block blk_<*> to /<*>
76,77,Sun Dec 04 04:58:45 2005,notice,10.250.5.237:50010 Served block blk_3166960787499091856 to /10.251.43.147,E1,<*>:<*> Served block blk_<*> to /<*>
77,78,Sun Dec 04 04:58:57 2005,notice,10.251.30.85:50010:Got exception while serving blk_-2918118818249673980 to /10.251.90.64:,E3,<*>:<*>:Got exception while serving blk_<*> to /<*>:
78,79,Sun Dec 04 04:58:58 2005,error,10.251.126.255:50010:Got exception while serving blk_8376667364205250596 to /10.251.91.159:,E3,<*>:<*>:Got exception while serving blk_<*> to /<*>:
79,80,Sun Dec 04 04:59:28 2005,notice,10.251.71.68:50010 Served block blk_-2794533871450434534 to /10.251.199.150,E1,<*>:<*> Served block blk_<*> to /<*>
80,81,Sun Dec 04 04:59:27 2005,notice,10.251.123.132:50010:Got exception while serving blk_3763728533434719668 to /10.251.38.214:,E3,<*>:<*>:Got exception while serving blk_<*> to /<*>:
81,82,Sun Dec 04 04:59:35 2005,notice,10.250.13.188:50010:Got exception while serving blk_6241141267506413726 to /10.251.194.245:,E3,<*>:<*>:Got exception while serving blk_<*> to /<*>:
82,83,Sun Dec 04 04:59:35 2005,notice,10.251.214.32:50010 Served block blk_-6520030462660619051 to /10.251.215.70,E1,<*>:<*> Served block blk_<*> to /<*>
83,84,Sun Dec 04 04:59:38 2005,error,10.251.199.19:50010:Got exception while serving blk_8466246428293623262 to /10.251.106.37:,E3,<*>:<*>:Got exception while serving blk_<*> to /<*>:
84,85,Sun Dec 04 04:59:38 2005,error,10.250.9.207:50010:Got exception while serving blk_-3140754468249228022 to /10.250.9.207:,E3,<*>:<*>:Got exception while serving blk_<*> to /<*>:
85,86,Sun Dec 04 05:00:03 2005,notice,10.251.202.134:50010:Got exception while serving blk_3441699978641526775 to /10.251.126.5:,E3,<*>:<*>:Got exception while serving blk_<*> to /<*>:
86,87,Sun Dec 04 05:00:09 2005,notice,10.250.6.214:50010 Served block blk_5739119717322549945 to /10.251.43.115,E1,<*>:<*> Served block blk_<*> to /<*>
87,88,Sun Dec 04 05:00:09 2005,error,10.250.14.196:50010:Got exception while serving blk_-305633040016166849 to /10.251.38.53:,E3,<*>:<*>:Got exception while serving blk_<*> to /<*>:
88,89,Sun Dec 04 05:00:13 2005,notice,10.251.107.227:50010:Got exception while serving blk_-6290631608800952376 to /10.251.109.209:,E3,<*>:<*>:Got exception while serving blk_<*> to /<*>:
89,90,Sun Dec 04 05:00:13 2005,notice,10.251.203.166:50010 Served block blk_8787656642683881295 to /10.251.107.98,E1,<*>:<*> Served block blk_<*> to /<*>
90,91,Sun Dec 04 05:00:15 2005,notice,10.251.90.64:50010:Got exception while serving blk_-4841792440390267307 to /10.251.90.239:,E3,<*>:<*>:Got exception while serving blk_<*> to /<*>:
91,92,Sun Dec 04 05:00:15 2005,error,10.250.10.144:50010:Got exception while serving blk_5126469776250053435 to /10.250.11.100:,E3,<*>:<*>:Got exception while serving blk_<*> to /<*>:
92,93,Sun Dec 04 05:00:15 2005,notice,10.251.71.146:50010:Got exception while serving blk_-2032740670708110312 to /10.251.197.161:,E3,<*>:<*>:Got exception while serving blk_<*> to /<*>:
93,94,Sun Dec 04 05:00:15 2005,error,10.251.67.113:50010:Got exception while serving blk_-62891505109755100 to /10.250.7.96:,E3,<*>:<*>:Got exception while serving blk_<*> to /<*>:
94,95,Sun Dec 04 05:01:20 2005,notice,10.251.74.79:50010:Got exception while serving blk_2244903517044280975 to /10.251.74.134:,E3,<*>:<*>:Got exception while serving blk_<*> to /<*>:
95,96,Sun Dec 04 05:01:20 2005,notice,10.251.214.112:50010:Got exception while serving blk_5905933788014151041 to /10.251.214.112:,E3,<*>:<*>:Got exception while serving blk_<*> to /<*>:
96,97,Sun Dec 04 05:02:14 2005,notice,10.251.111.80:50010 Served block blk_6296828743242110158 to /10.251.42.246,E1,<*>:<*> Served block blk_<*> to /<*>
97,98,Sun Dec 04 05:02:14 2005,notice,10.251.43.210:50010:Got exception while serving blk_2969087638814291714 to /10.251.199.86:,E3,<*>:<*>:Got exception while serving blk_<*> to /<*>:
98,99,Sun Dec 04 05:04:03 2005,notice,10.251.126.255:50010:Got exception while serving blk_2879780987351022871 to /10.251.39.144:,E3,<*>:<*>:Got exception while serving blk_<*> to /<*>:
99,100,Sun Dec 04 05:04:03 2005,notice,10.251.73.220:50010:Got exception while serving blk_4934527196392001803 to /10.251.203.246:,E3,<*>:<*>:Got exception while serving blk_<*> to /<*>:
100,101,Sun Dec 04 05:04:03 2005,notice,10.251.73.188:50010:Got exception while serving blk_7517964792804498202 to /10.250.6.191:,E3,<*>:<*>:Got exception while serving blk_<*> to /<*>:
101,102,Sun Dec 04 05:04:03 2005,notice,10.251.35.1:50010:Got exception while serving blk_7940316270494947483 to /10.251.122.38:,E3,<*>:<*>:Got exception while serving blk_<*> to /<*>:
102,103,Sun Dec 04 05:04:03 2005,notice,10.251.90.134:50010:Got exception while serving blk_7154985168984871115 to /10.251.110.160:,E3,<*>:<*>:Got exception while serving blk_<*> to /<*>:
103,104,Sun Dec 04 05:04:03 2005,notice,Received block blk_-6867873931012347356 of size 67108864 from /10.251.39.64,E11,Received block blk_<*> of size <*> from /<*>
104,105,Sun Dec 04 05:04:03 2005,notice,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.107.19:50010 is added to blk_6093743385844975689 size 67108864,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>
105,106,Sun Dec 04 05:04:04 2005,notice,Receiving block blk_8692428775973608797 src: /10.250.10.213:56574 dest: /10.250.10.213:50010,E13,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>
106,107,Sun Dec 04 05:04:04 2005,error,PacketResponder 0 for block blk_-6837050820114491742 terminating,E10,PacketResponder <*> for block blk_<*> terminating
107,108,Sun Dec 04 05:04:04 2005,notice,Received block blk_-5195432543794777448 of size 67108864 from /10.250.10.6,E11,Received block blk_<*> of size <*> from /<*>
108,109,Sun Dec 04 05:04:04 2005,error,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.110.68:50010 is added to blk_1636660629634995787 size 67108864,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>
109,110,Sun Dec 04 05:04:04 2005,notice,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.75.79:50010 is added to blk_467589865104023338 size 67108864,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>
110,111,Sun Dec 04 05:04:04 2005,error,Received block blk_7929144620252342335 of size 67108864 from /10.251.31.5,E11,Received block blk_<*> of size <*> from /<*>
111,112,Sun Dec 04 05:04:04 2005,notice,Receiving block blk_-1798958443298220150 src: /10.251.111.209:57419 dest: /10.251.111.209:50010,E13,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>
112,113,Sun Dec 04 05:04:04 2005,error,PacketResponder 0 for block blk_-54240672253074715 terminating,E10,PacketResponder <*> for block blk_<*> terminating
113,114,Sun Dec 04 05:04:04 2005,notice,Receiving block blk_-7172347691639518373 src: /10.251.111.37:35327 dest: /10.251.111.37:50010,E13,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>
114,115,Sun Dec 04 05:04:04 2005,error,Receiving block blk_-6412155847905320411 src: /10.251.30.85:58995 dest: /10.251.30.85:50010,E13,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>
115,116,Sun Dec 04 05:04:04 2005,notice,Receiving block blk_699651392443620263 src: /10.251.70.5:34703 dest: /10.251.70.5:50010,E13,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>
116,117,Sun Dec 04 05:04:04 2005,error,Receiving block blk_-8788032532930439012 src: /10.251.126.255:41104 dest: /10.251.126.255:50010,E13,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>
117,118,Sun Dec 04 05:04:04 2005,notice,Received block blk_-3455521536483250153 of size 67108864 from /10.251.106.37,E11,Received block blk_<*> of size <*> from /<*>
118,119,Sun Dec 04 05:04:04 2005,error,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.31.85:50010 is added to blk_-7017553867379051457 size 67108864,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>
119,120,Sun Dec 04 05:11:51 2005,notice,Receiving block blk_-1259190292740306590 src: /10.251.65.203:36289 dest: /10.251.65.203:50010,E13,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>
120,121,Sun Dec 04 05:12:07 2005,notice,BLOCK* NameSystem.allocateBlock: /user/root/sortrand/_temporary/_task_200811092030_0002_r_000296_0/part-00296. blk_-6620182933895093708,E7,BLOCK* NameSystem.allocateBlock: /<*>/part-<*>. blk_<*>
121,122,Sun Dec 04 05:12:10 2005,error,PacketResponder 1 for block blk_2028803850179311599 terminating,E10,PacketResponder <*> for block blk_<*> terminating
122,123,Sun Dec 04 05:12:26 2005,notice,Receiving block blk_-8562334328670278932 src: /10.251.194.147:46714 dest: /10.251.194.147:50010,E13,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>
123,124,Sun Dec 04 05:12:26 2005,notice,PacketResponder 1 for block blk_-8108913101671416218 terminating,E10,PacketResponder <*> for block blk_<*> terminating
124,125,Sun Dec 04 05:12:28 2005,notice,PacketResponder 0 for block blk_-7640601843607665080 terminating,E10,PacketResponder <*> for block blk_<*> terminating
125,126,Sun Dec 04 05:12:28 2005,error,Receiving block blk_7654726977769174867 src: /10.251.110.160:49990 dest: /10.251.110.160:50010,E13,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>
126,127,Sun Dec 04 05:12:28 2005,notice,PacketResponder 1 for block blk_8320088109701056055 terminating,E10,PacketResponder <*> for block blk_<*> terminating
127,128,Sun Dec 04 05:12:28 2005,error,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.197.226:50010 is added to blk_4585055992495043771 size 67108864,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>
128,129,Sun Dec 04 05:12:30 2005,notice,Received block blk_-4330512786228504138 of size 67108864 from /10.251.67.225,E11,Received block blk_<*> of size <*> from /<*>
129,130,Sun Dec 04 05:12:30 2005,notice,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.30.179:50010 is added to blk_4628142183191390143 size 67108864,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>
130,131,Sun Dec 04 05:12:30 2005,error,PacketResponder 2 for block blk_-6766351519628312408 terminating,E10,PacketResponder <*> for block blk_<*> terminating
131,132,Sun Dec 04 05:15:09 2005,error,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.5.237:50010 is added to blk_-476906696485288376 size 67108864,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>
132,133,Sun Dec 04 05:15:13 2005,notice,PacketResponder 0 for block blk_-7436749154361133879 terminating,E10,PacketResponder <*> for block blk_<*> terminating
133,134,Sun Dec 04 05:15:16 2005,notice,Receiving block blk_7061131805920430446 src: /10.250.7.32:53397 dest: /10.250.7.32:50010,E13,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>
134,135,Sun Dec 04 05:15:16 2005,error,Received block blk_-684595390732854503 of size 67108864 from /10.250.6.191,E11,Received block blk_<*> of size <*> from /<*>
135,136,Sun Dec 04 06:01:00 2005,notice,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.7.244:50010 is added to blk_-6956067134432991406 size 67108864,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>
136,137,Sun Dec 04 06:01:00 2005,notice,PacketResponder 0 for block blk_549647953114643908 terminating,E10,PacketResponder <*> for block blk_<*> terminating
137,138,Sun Dec 04 06:01:21 2005,notice,BLOCK* NameSystem.allocateBlock: /user/root/sortrand/_temporary/_task_200811092030_0002_r_000230_0/part-00230. blk_559204981722276126,E7,BLOCK* NameSystem.allocateBlock: /<*>/part-<*>. blk_<*>
138,139,Sun Dec 04 06:01:21 2005,notice,PacketResponder 1 for block blk_-165500353496111884 terminating,E10,PacketResponder <*> for block blk_<*> terminating
139,140,Sun Dec 04 06:01:30 2005,error,BLOCK* NameSystem.allocateBlock: /user/root/sortrand/_temporary/_task_200811092030_0002_r_000169_0/part-00169. blk_-7105305952901940477,E7,BLOCK* NameSystem.allocateBlock: /<*>/part-<*>. blk_<*>
140,141,Sun Dec 04 06:01:42 2005,notice,Receiving block blk_-9103764593642564543 src: /10.251.43.115:46385 dest: /10.251.43.115:50010,E13,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>
